Document Type,Provider,AHCA Case Number,Formal/Informal Case Number,Date_Rendered
Settlement Agreements,Diagnostic Health Weston,2011007514,11-563PH,8/18/2011
Settlement Agreements,"Diagnostic Medical Center, Inc.",2006010542,07-20PH,7/11/2007
Recommended Orders,Diagnostic Medical Imaging LLC,"2021009916, 2021004427, 2021004429, 2020019846, 2021004292, 2021004426, 2021008369",22-072PH,5/31/2022
Defaults and Dismissals,Diagnostic Medical Imaging LLC,2022008092,,7/1/2022
Defaults and Dismissals,Diagnostic Medical Imaging LLC,2010004464,,6/8/2010
Settlement Agreements,Diagnostic Medical Imaging of Plantation LLC,2018016439,18-883PH,2/15/2019
Defaults and Dismissals,Diagnostic Medical Testing Inc,2010011820,,12/13/2010
Settlement Agreements,Diagnostic Mobile X-Ray Inc,2024014866,,5/27/2025
Settlement Agreements,Diagnostic Outpatient Centers II Inc,2014010000,,2/16/2015
Defaults and Dismissals,Diagnostic Pathology Associates,2009007001,,8/18/2009
Defaults and Dismissals,Diagnostic Pathology Services Inc,2010012409,,1/18/2011
Defaults and Dismissals,Diagnostic Pathology Services PC,2012010882,,11/19/2012
Defaults and Dismissals,Diagnostic Services,CI 11-1702-000,,5/4/2011
Defaults and Dismissals,Diagnostic Specialists LLC,2009008744,,10/30/2009
Defaults and Dismissals,Diagnostics 4 Less,2010010196,,11/15/2010
Defaults and Dismissals,Diagnostics 4 Less Inc,2010002604,10-235PH,6/10/2010
Settlement Agreements,Diagnovus LLC,2014004706,14-223PH,6/26/2014
Defaults and Dismissals,Diah's Private Home Care LLC,2017010083,17-339PH,1/16/2018
Settlement Agreements,Dial 4 Care Inc,2022015075,22-557PH,11/21/2022
Settlement Agreements,Dial 4 Care Inc,2024003123,,6/17/2024
Recommended Orders,"Dial 4 Care, Inc",2009005351,09-684PH,12/1/2009
Settlement Agreements,Dial- A Nurse Of Fort Myers Registry Inc,2013003195,,5/2/2013
Settlement Agreements,Dial-A-Nurse Inc,2012007972,12-502PH,12/17/2012
Defaults and Dismissals,Dial-A-Nurse of Fort Myers Registry Inc,2013007834,,11/27/2013
Defaults and Dismissals,Dialysis Newco Inc,"CI 15-0838-000, 2015-0000359",,7/21/2015
Settlement Agreements,Diamar Adult Daycare Center Corp,"2021014275, 2022001482, 2022001484",21-582PH,5/23/2022
Defaults and Dismissals,Diamond ALF LLC,2017008257,,3/5/2018
Settlement Agreements,Diamond ALF LLC,2015005812,,9/21/2015
Settlement Agreements,Diamond Edgewater,2024009519,,8/19/2024
Settlement Agreements,Diamond Edgewater,2024015361,24-635PH,5/27/2025
Settlement Agreements,Diamond Edgewater,2026002608,26-177PH,5/18/2026
Defaults and Dismissals,Diamond Health Medical Care Center Inc,"2023-000019743, 2023-0023727",,7/31/2023
Settlement Agreements,Diamond Health Medical Care Center Inc,2022-0022192,,10/10/2022
Defaults and Dismissals,Diamond Healthcare Group Inc,2021006082,,7/19/2021
Settlement Agreements,Diamond Home Health,2013008812,14-998,3/31/2014
Defaults and Dismissals,Diamond Home Health,2013001011,13-69PH,5/7/2013
Settlement Agreements,Diamond Home Health,2012009356,12-3238,1/29/2013
Defaults and Dismissals,Diamond Lifestyle ALF LLC,2024015867,,1/21/2025
Defaults and Dismissals,Diamond Lifestyles ALF LLC,2024014520,,1/13/2025
Defaults and Dismissals,Diamond Medical Enterprise Inc,2007002147,,8/29/2007
Settlement Agreements,Diamond Outpatient LLC,2024013508,,2/17/2025
Defaults and Dismissals,Diamond Outpatient LLC,2024008708,,8/19/2024
Defaults and Dismissals,Diamond Ridge Health & Rehabilitation Center,"DR23-004P, 2024004319",,6/11/2024
Defaults and Dismissals,Diamond Ridge Health and Rehab Center,NH14-131C,,7/5/2016
Defaults and Dismissals,Diamond Ridge Health and Rehabilitation Center,"NH19-340F, 2021000931",,3/31/2022
Defaults and Dismissals,Diamond Ridge Health and Rehabilitation Center,2019018941,,4/21/2020
Defaults and Dismissals,Diamond Ridge Health and Rehabilitation Center,"2020019522, NH19-340M",,5/4/2021
Defaults and Dismissals,Diamond Ridge Health And Rehabilitation Center,2020016681,,12/17/2020
Defaults and Dismissals,Diamond Ridge Health and Rehabilitation Center,2017001275,,4/19/2017
Miscellaneous Orders,Diamond Ridge Health and Rehabilitation Center,2017012400,,11/13/2017
Defaults and Dismissals,Diamond Ridge Health Care Center,F0115-0360-001,15-484PH,4/27/2016
Defaults and Dismissals,Diamond Spring Retirement Home,2007005297,,8/20/2007
Defaults and Dismissals,Diamond Spring Retirement Home,2005000163,05-36PH,4/22/2005
Settlement Agreements,Diamond Spring Retirement Home,2017006671,17-234PH,8/4/2017
Defaults and Dismissals,Diamond Supported Living Services LLC,2012009049,12-548PH,12/19/2012
Defaults and Dismissals,Diamond's Family Care Inc,2022011648,,9/19/2022
Defaults and Dismissals,Diana Blanco,CI 13-2106-000,,8/22/2013
Defaults and Dismissals,Diana Hayles,2015010908,,11/18/2015
Settlement Agreements,Diana Home Care I Corp,2022017066,23-063PH,3/1/2023
Defaults and Dismissals,Diana Home Care I Corp,2014008588,,10/20/2014
Defaults and Dismissals,Diana Home Care II,2017003965,,3/7/2018
Settlement Agreements,Diana L Cuero,2020-0019141,,6/7/2021
Defaults and Dismissals,Diana Lynn Bailey,2015010743,,12/16/2015
Defaults and Dismissals,Diana M Santos,2023-000022439,,9/5/2023
Defaults and Dismissals,Diana Margaret Strudwick,2007002387,,9/4/2008
Defaults and Dismissals,Diana Margaret Strudwick,2009001896,,4/29/2009
Settlement Agreements,"Diana McLaughlin MD FAAP, Kid's Medical Care","CI 03-1116-000, CI 01-1231-000","05-141PH, 05-227PH",8/17/2006
Settlement Agreements,Diana Medical Equipment Inc,CI 02-0168-000-3,03-0310MPI,6/11/2003
Defaults and Dismissals,Diana Rae Fischer MD,2016-0006611,,12/1/2016
Settlement Agreements,Diana Thompson,2013010960,13-518PH,5/19/2014
Defaults and Dismissals,Diana's Adult Home Care,,,4/27/2012
Defaults and Dismissals,Diana's Adult Home Care,CI 12-1454-000,,3/26/2012
Defaults and Dismissals,Diana'S Home,2005001277,,6/28/2005
Defaults and Dismissals,Diane Caler,2020-0019102,,1/14/2021
Defaults and Dismissals,Diane Chrissis Norcross,2008007385,,7/9/2008
Defaults and Dismissals,Diane Chrissis Norcross,2010005638,,7/29/2010
Defaults and Dismissals,Diane Chrissis Norcross,2014003878,,6/26/2014
Settlement Agreements,Diane E Vargas MD,CI 11-3558-000,,2/2/2012
Defaults and Dismissals,Diane Ellis,2021-0020808,,9/13/2021
Defaults and Dismissals,"Diane F. Reynolds Sweet Home Providers, Inc",CI 12-1882-000,12-268PH,12/10/2012
Settlement Agreements,Diane Kaye Sawyer,2012009989,,2/20/2013
Defaults and Dismissals,Diane Krieger MD,2006006013,,8/10/2006
Defaults and Dismissals,Diane Meredith,CI 12-1313-000,,3/1/2012
Defaults and Dismissals,Diane Morgan,2011004965,,6/16/2011
Defaults and Dismissals,Dianelis Alvarez-Quintanal,2020-0019885,,3/9/2021
Defaults and Dismissals,Diane's Angel LLC,2016013210,,3/8/2017
Defaults and Dismissals,Diane's Angels LLC,2017005564,,5/23/2018
Defaults and Dismissals,Dianna Roman Aguila,2021-0020800,,9/13/2021
Settlement Agreements,Dianne Daniel,"CI 15-0660-000, 2015-0001955",,6/7/2016
Defaults and Dismissals,Dianne Daniel,CI 15-0047-000,,12/18/2014
Defaults and Dismissals,Dianne Haisten DO LLC,2008001307,,7/28/2008
Defaults and Dismissals,Dianne P Wester,2014003650,,6/5/2014
Defaults and Dismissals,Dianne Rosario,2009012708,,12/22/2009
,Dianon Systems,,97-1640,5/15/1997
Settlement Agreements,Dianon Systems Inc,2009008407,,9/3/2009
Settlement Agreements,Dianon Systems Inc,2011002919,,4/15/2011
Settlement Agreements,Dianon Systems Inc,2011007512,11-639PH,2/29/2012
Settlement Agreements,Dianon Systems Inc,2011001927,,2/17/2012
Defaults and Dismissals,Dianon Systems Inc,2011000343,,2/28/2011
Defaults and Dismissals,Diaspo Home Services Inc,2021008897,,8/2/2021
Settlement Agreements,Diatech Oncology,2011006932,11-567PH,8/18/2011
Defaults and Dismissals,Diatech Oncology,2012006760,,8/28/2012
Defaults and Dismissals,Diatherix Laboratories LLC,2015007455,,9/9/2015
Settlement Agreements,Diaz Home Care ALF II Inc,2015012602,16-384PH,1/11/2017
Defaults and Dismissals,Diaz Home Care ALF Inc,2021008420,,9/13/2021
Defaults and Dismissals,Diaz Home Care ALF Inc,2023006441,,11/6/2023
Settlement Agreements,Diaz Home Care ALF Inc,2024015850,24-682PH,1/21/2025
Defaults and Dismissals,Diaz Home Care ALF Inc,2015006025,,12/7/2015
Defaults and Dismissals,Diaz Home Care ALF Inc,CI 15-0524-000,,12/31/2014
Settlement Agreements,"Diaz Home Care ALF, Inc",2007005356,,8/2/2007
Defaults and Dismissals,"Diaz Lacayo, Marvin (MD)",2009010447,,12/10/2009
Defaults and Dismissals,"Diaz, Mario G (MD)",CI 01-0601-000,,3/9/2005
Settlement Agreements,Dicor International Inc,2004004823,04-238PH,9/30/2004
Defaults and Dismissals,"Dicus, Rebecca Lynn",2007014345,,3/3/2008
Settlement Agreements,Diego Fallon Inc,2014009973,14-399PH,11/25/2014
Settlement Agreements,Diego Ramon Martinez,2014001201,,3/21/2014
Defaults and Dismissals,Different Skills 4 Different Mindsets Foundation Inc,2024008746,,8/19/2024
Defaults and Dismissals,Digestive Disease Associates,2008006112,,7/10/2008
Settlement Agreements,Digestive Disease Associates,2008009945,,9/15/2008
Defaults and Dismissals,Digestive Disease Specialists Of Manatee PL,2011008601,,9/12/2011
Settlement Agreements,Digestive Health Physicians Of Central Florida PA,2008000673,,4/29/2008
Settlement Agreements,Digestive Health Physicians PL,2008001306,08-1105,4/24/2008
Defaults and Dismissals,Digestive Medicine Assoc,CI 14-0409-000,,11/14/2014
Recommended Orders,Digestive Medicine Associates,2004002875,FL03-0081,4/21/2004
Recommended Orders,Digestive Medicine Associates,2005009277,FL05-0076,11/23/2005
Recommended Orders,Digestive Medicine Histology Lab,2024007755,FL24-000011,6/10/2024
Recommended Orders,Digestive Medicine Histology Lab,2023005290,FL23-000080,4/3/2023
Defaults and Dismissals,Digital Medical Diagnostics Inc,2020008355,,5/4/2021
Defaults and Dismissals,Digital Medical Diagnostics Inc,2020008030,,5/4/2021
Settlement Agreements,Digital Medical Diagnostics Inc,2013002265,13-121PH,4/8/2013
Settlement Agreements,Digital Medical Imaging,2009014312,10-14PH,5/25/2010
Settlement Agreements,Digital Medical Imaging LLC,2020007082,,6/8/2021
Defaults and Dismissals,Digital Medical Imaging LLC,2010009310,,10/18/2010
Defaults and Dismissals,Digital Radiology Center,2015007027,,8/26/2015
Defaults and Dismissals,Digital Radiology Center,2016-0005964,,1/25/2017
Settlement Agreements,Dignified & Compassionate Homecare Services LLC,2024014296,24-612PH,5/27/2025
Defaults and Dismissals,Dignified Care LLC,2025001697,25-084PH,1/29/2026
Defaults and Dismissals,Dignified Care LLC,2018012683,,10/26/2018
Defaults and Dismissals,Dignity Care Home Health Inc,2024014763,,12/16/2024
Defaults and Dismissals,Dignity Companion Care,2026004920,,5/8/2026
Defaults and Dismissals,Dignity Healing LLC,2025006775,,7/31/2025
Defaults and Dismissals,Dignity Healthcare Staffing Inc,2011009456,,10/17/2011
Defaults and Dismissals,Dignity Kare LLC,2022011213,,9/6/2022
Defaults and Dismissals,Diivnity Premier Homecare LLC,2026001296,,3/16/2026
Defaults and Dismissals,Diligent Hands Hygienic Care LLC,2018012164,,10/26/2018
Settlement Agreements,Diligent Home Health Care Inc,2015012042,16-062PH,5/9/2016
Settlement Agreements,Dimarco And Denker MDs PA,2012001148,12-82PH,5/2/2012
Defaults and Dismissals,Dime Diagnostic Precision Ultrasound,2016010849,,12/5/2016
Defaults and Dismissals,Dime Diagnostic Precision Ultrasound,2016010780,,12/13/2016
Settlement Agreements,Dime Diagnostic Precision Ultrasound LLC,2022014379,22-543PH,12/12/2022
Defaults and Dismissals,Dimension Home Health Care Inc,2009005284,,9/1/2009
Defaults and Dismissals,Dimension Home Health Care Inc,2014009340,,11/12/2014
Defaults and Dismissals,Dimension Home Health Care Inc,2011003272,,5/9/2011
Defaults and Dismissals,Dimensional Diagnostic Imaging Inc,2007014196,,3/11/2008
Defaults and Dismissals,Dimensional Imaging Inc,2010006451,,7/27/2010
Settlement Agreements,Dimensional Imaging Inc.,2005009416,05-503PH,11/16/2006
Defaults and Dismissals,Dimensions Kids Project Inc,CI 11-1605-000,,1/18/2011
Defaults and Dismissals,"Dimensions Kids Project, Inc",CI 10-1304-100,,8/31/2010
Settlement Agreements,"Dimi Nursing, Inc.",2005000668,05-51PH,7/7/2005
Settlement Agreements,Dina Grossman,TP00151,,6/5/2014
Defaults and Dismissals,Dinesh Khanna MD PA,2008012496,,1/6/2009
Defaults and Dismissals,Dinesh Khanna MD PA,2010006305,,7/27/2010
,"Dinorah Drug Store, Inc",,96-93PH,6/18/1997
Defaults and Dismissals,Dionisio Bencomo,2010012635,,1/14/2011
Defaults and Dismissals,Dionne R Tulloch,2009000112,,4/21/2009
Defaults and Dismissals,Dionne R Tulloch,2021004501,,5/7/2021
Defaults and Dismissals,Dionne R Tulloch,2011001812,,3/28/2011
Settlement Agreements,Dionne R Tulloch,2017001296,17-114PH,6/27/2017
Settlement Agreements,Dionne R Tulloch Owner Operator dba Dionee R Tulloch,2009001606,,7/17/2009
Settlement Agreements,"Dionne R Tulloch, Owner Operator dba Dionne R Tulloch",2008006881,08-452PH,1/6/2009
Settlement Agreements,Dios Da El Mana Corp,2018013885,,2/6/2019
Settlement Agreements,Dios Da El Mana Corp,2017003681,,4/3/2018
Settlement Agreements,Dios Da El Mana Corp,"2025015489, 2025015245",25-650PH,2/3/2026
Defaults and Dismissals,Dios Da El Mana Corp,2011009967,,10/17/2011
Defaults and Dismissals,Diplomat Home Care Inc,2009010816,09-5627,2/11/2010
Defaults and Dismissals,Diplomat Home Care Inc,2010010276,,11/24/2010
Defaults and Dismissals,Diplomat Home Care Inc,2013009852,,12/4/2013
Settlement Agreements,Diplomat Pharmacy Inc,2016-0006610,,10/2/2017
Defaults and Dismissals,"Diplomat Retirement Home, Inc dba Diplomat Retirement Home",10-99-114-ALF,99-2741,5/10/2000
Settlement Agreements,Direct Access at Home,2019019960,20-026PH,1/24/2022
Defaults and Dismissals,Direct Access Internal Medicine of SWFL,2014000936,15-115PH,8/13/2015
Defaults and Dismissals,Direct Access Internal Medicine of SWFL,2013011186,,1/24/2014
Settlement Agreements,Direct Care Home Health Inc,2009002300,09-209PH,8/31/2009
Defaults and Dismissals,Direct Care Services,2018010548,,10/3/2018
Defaults and Dismissals,Direct Clinics Inc,2022005082,,5/31/2022
Settlement Agreements,Direct Home Care Service,2022004918,,10/10/2022
Settlement Agreements,Direct Medical Imaging LLC,2016010050,16-451PH,9/30/2016
Settlement Agreements,Direct Meds of Florida LLC,"CI 15-0866-000, 2015-0002412",,7/20/2015
Defaults and Dismissals,Direct Meds Of Florida LLC,CI 11-4179-000,,10/27/2011
,"Direct Meds of Florida, LLC",AHCA ITN 0306,03-114PH,5/16/2003
Settlement Agreements,Direct Nursing Care Services Inc,2022005310,22-300PH,9/23/2022
Settlement Agreements,Direct Nursing Care Services Inc,2022005320,,2/20/2023
Defaults and Dismissals,Direct Nursing Care Services Inc,2024009483,24-378PH,8/19/2024
Defaults and Dismissals,Direct Nursing Care Services Inc,2011008103,,8/31/2011
Recommended Orders,"Direct Nursing Care Services, Inc.",2003007854,03-383PH,5/25/2004
Defaults and Dismissals,Direct Physical Therapy LLC,2021017446,,2/7/2022
Defaults and Dismissals,Directions for Mental Health Inc,CI 01-0550-036/WG4-DKH,01-174PH,7/12/2002
Settlement Agreements,Directions for Mental Health Inc,CI 07-5254-000,,4/3/2007
Defaults and Dismissals,Directions For Mental Health Inc,CI 13-0568-000,,9/5/2013
Defaults and Dismissals,Disability Solutions Inc,2022-0021949,,8/30/2022
Settlement Agreements,Disability Solutions Inc,2020-0018783,,6/7/2021
Defaults and Dismissals,Disability Solutions Inc,"2023-000021991, 2023-0024082",,7/17/2023
Defaults and Dismissals,Discount Medical Supply Inc,2006007816,,1/3/2007
Defaults and Dismissals,Discount Medical Supply Of Florida Inc,2007007505,08-460PH,5/1/2009
Defaults and Dismissals,Discount Medical Supply Of Florida Inc,2007004924,08-459PH,5/1/2009
Settlement Agreements,Discount Mobility USA Inc,2009004013,,7/27/2009
Defaults and Dismissals,Discover Care LLC,2025007707,25-350PH,7/14/2025
Settlement Agreements,Discovery at Home LLC,2019008541,19-356PH,8/27/2019
Defaults and Dismissals,Discovery Commons Cypress Point,2025002483,,4/21/2025
Defaults and Dismissals,Discovery Commons Hobe Sound,2025007762,,8/22/2025
Defaults and Dismissals,Discovery Commons San Pablo,2025013039,,10/27/2025
Defaults and Dismissals,Discovery Commons South Biscayne,2022005211,,5/31/2022
Settlement Agreements,Discovery Plan,"97-1892-023, 97-1892-024, 97-1892-025, 97-1892-026, 97-1892-027, 97-1892-028, 97-1892-029, 97-1892-030, 97-1892-031, 97-1892-032",,10/25/2006
Defaults and Dismissals,Discovery Plan,CI 00-1970-014/JMS,,3/13/2002
Defaults and Dismissals,Discovery Plan,CI 00-1970-013/JMS,,3/13/2002
Defaults and Dismissals,Discovery Plan,CI 00-1970-009/JMS,,3/13/2002
Defaults and Dismissals,Discovery Plan,CI 00-1970-016/JMS,,3/13/2002
Defaults and Dismissals,Discovery Plan,CI 00-1970-015/JMS,,3/13/2002
Defaults and Dismissals,Discovery Plan,CI 98-0133-002,,3/30/2001
Defaults and Dismissals,Discovery Plan,CI 00-0545-006,,2/21/2001
Defaults and Dismissals,Discovery Plan,CI 00-0545-003,,2/21/2001
Defaults and Dismissals,Discovery Plan,CI 00-0545-004,,2/21/2001
Defaults and Dismissals,Discovery Plan,CI 00-0545-007,,2/21/2001
Defaults and Dismissals,Discovery Plan,CI 00-0545-002,,2/21/2001
Defaults and Dismissals,Discovery Plan,CI 00-0545-001,,2/21/2001
Defaults and Dismissals,Discovery Plan,CI 00-0545-005,,2/21/2001
Defaults and Dismissals,"Discovery Therapy, Inc",2010000712,,3/16/2010
Defaults and Dismissals,Discovery Village at Deerwood,2023003977,,6/19/2023
Defaults and Dismissals,Discovery Village at Melbourne,2024016155,,2/7/2025
Defaults and Dismissals,Discovery Village at Melbourne,2021015635,,2/28/2022
Defaults and Dismissals,Discovery Village at Melbourne,2021013253,,10/26/2021
Settlement Agreements,Discovery Village at Melbourne,2021004330,,6/7/2021
Defaults and Dismissals,Discovery Village at Melbourne,2020000539,,4/21/2020
Settlement Agreements,Discovery Village at Melbourne,"2018007751, 2018006779, 2018007755, 2018007757, 2018007985",,5/13/2019
Defaults and Dismissals,Discovery Village at Melbourne,2019005222,,4/15/2019
Defaults and Dismissals,Discovery Village at Melbourne,2016012719,,1/23/2017
Settlement Agreements,Discovery Village at Naples,"2018006681, 2017001219, 2018006528, 2018006530, 2018007653, 2018007656, 2018007659, 2018007661, 2018007662, 2018007690",,8/31/2018
Defaults and Dismissals,Discovery Village At Naples LLC,"2017003996, 2017004001",,2/6/2018
Defaults and Dismissals,Discovery Village at Naples LLC,2016013014,,1/25/2017
Settlement Agreements,Discovery Village at Naples LLC,2015005411,15-223PH,7/16/2015
Settlement Agreements,Discovery Village at Palm Beach Gardens,2018007752,,10/5/2018
Defaults and Dismissals,Discovery Village at Sarasota Bay,2023010710,,8/21/2023
Defaults and Dismissals,Discovery Village at Sarasota Bay,2016010053,,10/18/2016
Defaults and Dismissals,Discovery Village at Sarasota Bay LLC,2023015806,,12/13/2023
Defaults and Dismissals,Discovery Village at the Forum,2024013346,,12/16/2024
Defaults and Dismissals,Discovery Village at The Forum,2025001341,,5/12/2025
Defaults and Dismissals,Discovery Village at Westchase,2023002895,,4/10/2023
Defaults and Dismissals,Discovery Village at Westchase,2024010214,,10/7/2024
Recommended Orders,Disney Medical Equipment Inc dba Disney Pharmacy Discount,CI 02-0508-000,05-2277MPI,5/31/2006
Defaults and Dismissals,Dispatchhealth,2025017306,,3/16/2026
Settlement Agreements,DispatchHealth,2025017306,,4/3/2026
Defaults and Dismissals,Dispatchhealth,2020019511,,2/11/2021
Defaults and Dismissals,Distinct Health Care Services Inc,2010001495,,3/30/2010
Defaults and Dismissals,Distinct Health Care Services Inc,2015005167,,5/6/2016
Defaults and Dismissals,Distinct Health Care Services Inc,2015003678,,6/24/2015
Settlement Agreements,Distinct Health Care Services Incorporated,2010001497,10-1179,6/21/2010
Settlement Agreements,Distinct Home Health Services Incorporated,"2013012426, 2013012352","13-581PH, 13-582PH",3/19/2014
Settlement Agreements,Distinct Home Health Services Incorporated,2017001099,,5/19/2017
Settlement Agreements,Distinguished Health Services of Miami LLC,2024012093,24-570PH,12/9/2024
Defaults and Dismissals,Distinguished Home Health Care Services Inc,2015002592,,5/5/2015
Settlement Agreements,Diverse Medical Care LLC,2020008032,,2/11/2022
Settlement Agreements,Diverse Nursing Solutions LLC,2021002200,21-086PH,4/14/2021
Settlement Agreements,Diversicare Leasing Corp dba Desote Manor Nursing Home,NH03-057R,04-70PH,3/9/2005
Settlement Agreements,Diversicare Leasing Corp dba Good Samaritan Nursing Home,NH03-054R,04-67PH,3/9/2005
Settlement Agreements,Diversicare Leasing Corp dba Hardee Manor Care Center,NH03-058R,04-69PH,3/9/2005
Settlement Agreements,Diversicare Leasing Corp dba Leesburg Nursing Center,NH03-055R,04-68PH,3/9/2005
Defaults and Dismissals,Diversicare Leasing Corporation,CI 05-3105-000,,8/9/2005
Defaults and Dismissals,Diversicare Leasing Corporation,CI 08-7277-000,,10/13/2008
Defaults and Dismissals,Diversicare Leasing Corporation,NH16899,,2/26/2015
Defaults and Dismissals,Diversified Home Health Agency Inc,2020003601,,6/30/2020
Defaults and Dismissals,Diversified Home Health Agency Inc,2010009097,,10/11/2010
Defaults and Dismissals,Diversified Medical Equipment,"CI 01-1441-025, CI 01-1445-030, CI 01-1875-010",,7/12/2004
Defaults and Dismissals,Diversified Medical Group Inc,2004003833,,6/1/2004
Defaults and Dismissals,Diversity Home Care LLC,2020014255,,10/23/2020
Defaults and Dismissals,Diversity Home Care LLC,2020019743,,2/11/2021
Defaults and Dismissals,Diversity Love & Care Solutions LLC,2021015440,,12/17/2021
Defaults and Dismissals,Diversity Me,2019004449,,6/2/2021
Defaults and Dismissals,Diversity Me,2023005771,,10/6/2023
Emergency Orders,Diversity Me,2012011235,,10/16/2012
Recommended Orders,Diversity Me,2012011590,12-737PH,4/17/2013
Defaults and Dismissals,Diversity Me,2013000440,,4/17/2013
Settlement Agreements,Diversity Me,"2014007637, 2015001509",14-5849,5/19/2015
Settlement Agreements,Diversity MRI LLC,2023000118,23-020PH,2/7/2023
Defaults and Dismissals,Divine Aging LLC,2016000604,,3/8/2017
Settlement Agreements,Divine Angel Adult Day Care Inc,2021006929,21-314PH,6/23/2021
Defaults and Dismissals,Divine Angel Services Inc,2011008771,,9/30/2011
Defaults and Dismissals,"Divine Angel Services, Inc",2009008285,,11/5/2009
Defaults and Dismissals,Divine Angels LLC,2017-0007520,,12/13/2017
Settlement Agreements,Divine Assisted Living Facility,"2020002951, 2020007034, 2020007037",20-277PH,8/18/2020
Defaults and Dismissals,Divine Assisted Living Facility,2024006780,,8/12/2024
Defaults and Dismissals,Divine Business Enterprises Inc,2009009174,,11/18/2009
Defaults and Dismissals,Divine Care Inc,CI 11-1918-000,,1/14/2011
Settlement Agreements,Divine Care of Port Charlotte,2021002655,21-115PH,4/14/2021
Defaults and Dismissals,Divine Care Services Inc,2008001445,,4/23/2008
Settlement Agreements,Divine Care Services LLC,2019003824,19-202PH,6/5/2019
Defaults and Dismissals,Divine Care Services LLC,2024000150,,2/23/2024
Settlement Agreements,Divine Care Services LLC,2023011641,23-470PH,11/6/2023
Defaults and Dismissals,Divine Care Services Of Tampa Bay LLC,CI 12-1335-000,,3/27/2012
Defaults and Dismissals,Divine Care Services Of Tampa Bay LLC,CI 12-0813-000,,5/15/2012
Defaults and Dismissals,Divine Care Services Of Tampa Bay LLC,CI 12-2259-000,,6/29/2012
Defaults and Dismissals,"Divine Care, Inc",CI 10-1092-800,,8/2/2010
Defaults and Dismissals,Divine Center Of Hope Of Orlando Inc,2011011336,,11/23/2011
Defaults and Dismissals,Divine Choice Home Health Agency Limited Liability Company,2022008865,,7/25/2022
Defaults and Dismissals,Divine Choice Home Health Agency LLC,2020-0020277,,4/13/2021
Defaults and Dismissals,Divine Compassionate Home Care & Service LLC,2021015071,,1/31/2022
Defaults and Dismissals,Divine Connections Caregiver Services LLC,2025003023,25-204PH,6/6/2025
Defaults and Dismissals,Divine Consulting Services Inc,2017-0007903,,10/2/2018
Defaults and Dismissals,Divine Consulting Services Inc,2016-0005625,,9/6/2016
Settlement Agreements,Divine CTR of Hope of Orlando Inc,2020-0020278,,7/9/2021
Defaults and Dismissals,Divine Ctr Of Hope Of Orlando Inc,CI 12-1616-000,,6/18/2012
Defaults and Dismissals,"Divine Ctr Of Hope Of Orlando, Inc",CI 10-1092-900,,7/29/2010
Settlement Agreements,Divine Expections,2025007252,25-487PH,9/29/2025
Defaults and Dismissals,Divine Gallo House ALF,2016012693,,2/8/2017
Recommended Orders,Divine Gallo House ALF,2017001171,17-79PH,8/14/2017
Defaults and Dismissals,Divine Group Home USA Inc,CI 14-1857-000,14-261PH,3/16/2015
Defaults and Dismissals,Divine Healing Senior & Disabled Services LLC,2023017097,23-639PH,1/16/2024
Settlement Agreements,Divine Health Care Corp,2009006459,09-3645,11/9/2009
Defaults and Dismissals,Divine Health Care Corp,2009005352,,7/28/2009
Settlement Agreements,Divine Health Care Corp,2010000269,10-0778,5/4/2010
Settlement Agreements,Divine Health Care Corp,CI 11-1337-800,,1/28/2011
Settlement Agreements,Divine Health Care Corp,2011004642,11-483PH,9/16/2011
Defaults and Dismissals,Divine Hearts Home Care LLC,2026002012,,4/9/2026
Settlement Agreements,Divine Heritage LLC Pine Forest Care Inc and Neveh C Mahilum,2021014071,,9/26/2022
Defaults and Dismissals,Divine Home Care & Companions Services,2024007112,,7/15/2024
Defaults and Dismissals,Divine Home Care LLC,2020002857,,8/18/2020
Defaults and Dismissals,Divine Home Health Care Inc,2013008493,,12/4/2013
Defaults and Dismissals,Divine Homecare Agency,2009013068,,5/24/2010
Defaults and Dismissals,Divine Hope Home Care LLC,2026001691,,5/19/2026
Settlement Agreements,Divine House LLC,"2025008743, 2025007806",25-388PH,8/6/2025
Emergency Orders,"Divine House, LLC",2025007806,,6/4/2025
Settlement Agreements,Divine Humanity Homecare LLC,2022018632,23-002PH,2/7/2023
Defaults and Dismissals,Divine Hydration and Wellness,2022001546,,3/25/2022
Defaults and Dismissals,Divine Intervention Homemaker Companion,2011008718,,9/30/2011
Defaults and Dismissals,Divine Living ALF Inc,2011006717,,4/19/2012
Defaults and Dismissals,Divine Living ALF Inc,2013007734,,2/10/2014
Settlement Agreements,Divine Living ALF Inc,2011012145,11-905PH,8/6/2012
Defaults and Dismissals,Divine Living ALF Inc,2015010671,,11/18/2015
Defaults and Dismissals,Divine Living ALF Inc,2015007424,15-490PH,7/26/2016
Defaults and Dismissals,Divine Living in Hialeah LLC,"2017003966, 2017003967, 2018003416",,4/11/2018
Defaults and Dismissals,Divine Living in Hialeah LLC,2018006587,,6/29/2018
Defaults and Dismissals,Divine Living in Hialeah LLC,2016012723,,2/8/2017
Defaults and Dismissals,Divine Living In Hialeah LLC,2013007616,,9/10/2013
Defaults and Dismissals,Divine Living Waters Elder Care Services Inc,2011007126,,8/25/2011
Defaults and Dismissals,Divine Senior Care Inc,2013011465,,8/5/2014
Defaults and Dismissals,Divine Senior Care Inc,2013011443,,8/5/2014
